2016-06-02|李永强诉霍林郭勒市鸿泰房地产开发有限责任公司、霍林郭勒市永兴建设集团有限公司债权人代位权纠纷一审民事裁定书|债权人代位权纠纷|被告-霍林郭勒市鸿泰房地产开发有限责任公司,霍林郭勒市永兴建设集团有限公司|（2016）内0581民初724号|https://www.tianyancha.com/lawsuit/50951279a1cd46e99edd9221aa5f81fb
2016-05-19|陈永奎、李玉斌、宝柱、王华、王银、白勿日吐白乙、董玉柱、王文生、宝城、代振华、孔庆才诉通辽市振兴房地产开发有限责任公司、杨正甫劳务合同纠纷一审民事裁定书|劳务合同纠纷|被告-霍林郭勒市永兴建设集团有限公司|（2015）霍民初字第441号|https://www.tianyancha.com/lawsuit/2771e0e0d4464f6ba33c92f61f65ce20
2016-04-05|原告霍林郭勒宏鑫建筑器材租赁有限公司诉被告霍林郭勒市永兴建设集团有限责任公司内蒙古永兴公司锦联铝材工程项目部建筑设备租赁合同纠纷一审民事判决书|建筑设备租赁合同纠纷|原告-霍林郭勒宏鑫建筑器材租赁有限公司被告-霍林郭勒市永兴建设集团有限公司|（2014）霍商初字第19号|https://www.tianyancha.com/lawsuit/3f1a40ca9147401baf0892f24ddda1e1
2016-03-28|霍林郭勒市永兴建设集团有限公司与周清富、通辽市金辉房地产开发有限公司、袁清林、赵海军劳动争议一审民事判决书|劳动争议|原告-霍林郭勒市永兴建设集团有限公司被告-通辽市金辉房地产开发有限公司|（2016）内0502民初239号|https://www.tianyancha.com/lawsuit/bcb11c673c9f4b50b4f20651291af9ac
2016-03-28|霍林郭勒市永兴建设集团有限公司与王晓波、通辽市金辉房地产开发有限公司、袁清林、赵海军劳动争议一审民事判决书|劳动争议|原告-霍林郭勒市永兴建设集团有限公司被告-通辽市金辉房地产开发有限公司|（2016）内0502民初241号|https://www.tianyancha.com/lawsuit/867fac382618452eb6ca5ac927ba1251
2016-01-26|霍林郭勒市天原置业有限责任公司与韩景臣等12人、霍林郭勒市永兴建设集团有限公司、韩井斌、杨志杰劳务合同一案二审民事判决书|-|上诉人-霍林郭勒市天原置业有限责任公司被上诉人-吴凤琴,白文,芦伟奇,白桂芝,包色,吴立刚,韩景臣,白文秀,玉花,白国青,吴立,宋加春|（2015）通民终字第1692号|https://www.tianyancha.com/lawsuit/39158550b8664b65b8ba30a645e3e3e3
2015-07-22|霍林郭勒市天原置业有限责任公司与王丹丹、孙玉娜、于庆波、闫辉、桂洪涛、李浩然、常海龙劳动争议纠纷一案二审民事判决书|劳动争议|上诉人-霍林郭勒市天原置业有限责任公司|（2015）通民终字第1018号|https://www.tianyancha.com/lawsuit/6147c8381cb611e6b554008cfae40dc0
2015-07-13|原告霍林郭勒市永兴建设集团有限公司与被告通辽市人力资源和社会保障局工伤认定纠纷一案行政一审裁定书|-|原告-霍林郭勒市永兴建设集团有限公司|（2015）扎鲁行初字第23号|https://www.tianyancha.com/lawsuit/115cc8fbfffb41b3b166e77394c9b0fe
2015-06-10|霍林郭勒市永兴建设集团有限公司、汪海瑞劳动争议纠纷二审民事判决书|劳动争议|上诉人（一审被告）-汪海瑞,霍林郭勒市永兴建设集团有限公司|（2015）通民终字第860号|https://www.tianyancha.com/lawsuit/98753e6b1cb511e6b554008cfae40dc0
2015-06-09|唐山超捷贸易有限公司申请执行霍林郭勒市永兴建设集团有限公司、张术全、张志卫、王立波、李双春买卖合同纠纷一案一审执行裁定书|买卖合同纠纷|申请执行人-唐山超捷贸易有限公司被执行人-霍林郭勒市永兴建设集团有限公司|（2015）北民执字第492号|https://www.tianyancha.com/lawsuit/e017477e1cb511e6b554008cfae40dc0
